,ID,Address,Name,Employees,Longitutde,Latitude
0,1, 3666 21st St San Francisco CA 94114 USA, Madeira,8.0,-122.42936434915458,37.7564496899993
1,2, 735 Dolores St San Francisco CA 94119 USA, Bready Shop,15.0,-122.42559668301706,37.7577961290611
2,3, 332 Hill St San Francisco California 94114 USA, Super River,,-122.4288026611172,37.75564836499496
3,4, 3995 23rd St San Francisco CA 94114 USA, Ben's Shop,10.0,-122.43170235858965,37.752990821253434
4,5,1056 Sanchez St San Francisco California USA,Sanchez,12.0,-122.43002849999999,37.752129
5,6, 3666 21st St San Francisco CA 94114 USA, Madeira,8.0,-122.42936434915458,37.7564496899993
6,7, 735 Dolores St San Francisco CA 94119 USA, Bready Shop,15.0,-122.42559668301706,37.7577961290611
7,8, 332 Hill St San Francisco California 94114 USA, Super River,,-122.4288026611172,37.75564836499496
8,9, 3995 23rd St San Francisco CA 94114 USA, Ben's Shop,10.0,-122.43170235858965,37.752990821253434
9,10,1056 Sanchez St San Francisco California USA,Sanchez,12.0,-122.43002849999999,37.752129
